,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
116, comparison date findings the cardiac silhouette is within normal limits,,,, report impression some motion slightly limits the study minimal chronic accentuation of the vascularity as well as minimal bibasilar atelectasis,,,,,, lungs are well expanded and free of acute infiltrate,,, impression probable slight progression of bibasilar pleural parenchymal opacity,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, history r o pn findings exams report header chest single view frontal report body chest findings the heart size is enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117, pulmonary vasculature within normal limits,,,, decreased aeration the lungs after extubation with atelectasis and or consolidations in the mid to lower lung zones,,,,,, history chest congestion findings exams report header chest v report body there is a patchy infiltrate present in the lingula,,,,,,,,,,,,,,,,,,,,,,,,,, impression cardiomegaly, findings heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118, cardiomediastinal silhouette within normal limits,,,, a band of perihilar atelectasis is present on the left,,,,,, findings there is right basilar atelectatic infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, findings heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119, osseous structures are within normal limits for the patient s age age impression ,,,, subsegmental atelectasis in the left perihilar region,,,,,, report impression right basilar atelectatic infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, moderate pulmonary edema and cardiomegaly, heart and mediastinum normal heart size and pulmonary vascularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120, heart size and pulmonary vascularity are within normal limits,,,, conclusion bibasal patchy atelectasis worrisome for pneumonia,,,,,, there is a left lower lung infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly and aortic atherosclerosis, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121, heart and vessels are within normal limits,,,, there is atelectasis in both lung bases,,,,,, hazy bibasilar infiltrates are present with suspected bilateral pleural effusions,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, chest pa and lateral clinical history cough findings heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122, heart size is within normal limits,,,, mild atelectasis in both lung bases,,,,,, bibasilar infiltrates with bilateral pleural effusions,,,,,,,,,,,,,,,,,,,,,,,,,, impression persistent cardiomegaly, heart and mediastinum stable heart size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123, cardiomediastinal silhouette heart size is within normal limits,,,, there is minimal left basilar atelectasis,,,,,, results the lungs are clear of active infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124, the cardiomediastinal contours are within normal limits,,,, mild left basilar atelectasis or early infiltrate,,,,,, lungs are well expanded and free of acute infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly and pulmonary venous congestion, heart size appears within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125, pulmonary vascularity is within normal limits,,,, mild atelectasis lung bases,,,,,, history follow up infiltrates findings exams report header chest v report body a single frontal view of the chest is compared to the earlier study of march ,,,,,,,,,,,,,,,,,,,,,,,,,, exam xr chest view portable date time am history age years old male with bilateral leg swelling technique single frontal portable view of the chest comparison none findings cardiomegaly, history cough chest congestion findings exams report header chest v report body the heart size and pulmonary vascularity are within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126, findings the cardiomediastinal silhouette is within normal limits,,,, mild atelectasis lung bases,,,,,, the peripheral lung fields are clear acute infiltrates masses pleural effusions,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127, pulmonary vasculature within normal limits,,,, examination xr chest view portable date am comparison xr chest view portable date date am clinical history history followup lines and tubes atelectasis extubation findings lungs single portable semiupright chest with moderate volumes,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,,,,,,,,,,,,,,,,,,,,,,,,,, similar cardiomegaly, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128, the cardiomediastinal silhouette and pulmonary vasculature is within normal limits,,,, there are some areas of bandlike atelectasis on the left in the left lung,,,,,, there are low lung volumes with bilateral basilar atelectasis or infiltrate left greater than right,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly and thoracic kyphosis with spondylosis and osteopenia, findings the heart size and mediastinum are within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129, the heart is within normal limits in size,,,, this may be atelectasis,,,,,, low lung volumes with persistent bilateral basilar atelectasis or infiltrate with little significant change,,,,,,,,,,,,,,,,,,,,,,,,,, dose mild cardiomegaly, heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130, heart size is within normal limits,,,, areas of discoid atelectasis on the left and some asymmetric vague parenchymal airspace disease right perihilar region and right upper lobe on the right as described above,,,,,, increased density is present in the right lung base concerning for effusion with atelectasis and or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, report impression cardiomegaly, heart size is enlarged with atherosclerotic plaque seen in the aorta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131, cardiac and mediastinal contours are within normal limits,,,, bronchovascular crowding and subsegmental atelectasis observed,,,,,, right pleural effusion with right lower lobe atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, the heart size and mediastinal contours are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132, cardiac and mediastinal contours are within normal limits,,,, changes of bibasilar atelectasis or pneumonia,,,,,, chest erect pa and lateral views demonstrate right lower lobe infiltrate presumably inflammatory may be slightly more obvious than on prior study of date because of its somewhat focal nature recommend followup radiographs to resolution to exclude possible mass,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133, the cardiac silhouette and mediastinal contours are within normal limits,,,, findings elevation of the right hemidiaphragm with mild subsegmental atelectasis and vascular crowding in the adjacent right lung base,,,,,, apparent right lower lobe infiltrate as above recommend followup radiographs to resolution,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly, date examination chest views with date comparison clinical history cough findings heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134, heart and vessels are within normal limits,,,, elevation of the right hemidiaphragm with vascular crowding and mild subsegmental atelectasis in the right lung base,,,,,, lungs are well expanded and free of acute infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, history r cough increased bnp findings exams report header chest x ray v report body chest x ray shows cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135, heart size is within normal limits,,,, report impression mild patchy airspace opacity at both lung bases which may represent scarring atelectasis or pneumonia,,,,,, there is a left lower lung infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136, impression within normal limits,,,, findings the heart is enlarged in size and the lungs show increasing left lower lobe atelectasis,,,,,, report impression left lower lung infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, findings cardiomegaly with sternal wires and tracheostomy unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137, the cardio mediastinal silhouette is within normal limits,,,, report impression iincreasing left lower lobe atelectasis,,,,,, report impression bibasilar interstitial infiltrates with a small left pleural effusion,,,,,,,,,,,,,,,,,,,,,,,,,, history congestion findings exams report header chest views frontal and lateral report body findings views of the chest demonstrate cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138, the cardiomediastinal silhouette is within normal limits,,,, persistent airspace densities most likely representing pulmonary edema and left basilar atelectasis,,,,,, overlapping densities versus mild parenchymal infiltrate in the posterior right lung base,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly with atelectasis in right lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139, history screening exam for pulmonary tb findings exams report header chest v report body findings cardiac size and pulmonary vasculature are within normal limits,,,, mild left basilar atelectasis or infiltrate is seen,,,,,, overlapping densities versus small posterior right lung base parenchymal infiltrate possible atelectasis versus bronchopneumonia synoptic clinical data elements synoptic data in this section is for data collection qa and is incomplete,,,,,,,,,,,,,,,,,,,,,,,,,, heart and mediastinum there is cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140, findings cardiomediastinal silhouette within normal limits,,,, mild left basilar atelectasis or infiltrate,,,,,,no pulmonary infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, report impression cardiomegaly with findings concerning for left lower lobe infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141, heart and vessels are within normal limits,,,, suspect atelectasis or development of pneumonia,,,,,, report impression worsening right perihilar infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142, findings the heart and mediastinum are within normal limits,,,, other n a impression increased left lower lobe retrocardiac density suggesting increased atelectasis pneumonia and or developing pleural fluid,,,,,, lungs are well expanded and free of acute infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, stable cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143, the heart size and pulmonary vascularity remain within normal limits,,,, there is mild patchy left basilar density compatible with pneumonia or less likely atelectasis,,,,,, parenchymal infiltrate may be obscured,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144, the cardiomediastinal silhouette is within normal limits,,,, mild patchy left basilar density compatible with pneumonia or atelectasis,,,,,, small right lower lobe infiltrate and a small peripheral right midlung infiltrate remainder of the lung fields are grossly clear,,,,,,,,,,,,,,,,,,,,,,,,,, heart stable cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145, the cardiomediastinal contours are within normal limits,,,, in clinical context of cough fever elevated wbc or other signs of lung infection findings would be compatible with pneumonia otherwise atelectasis should be considered,,,,,, report impression small right lower lobe and small peripheral right midlung infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly with mild pulmonary vascular congestion chf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146, however the heart size is within normal limits,,,, findings lungs low lung volumes with probable bibasilar atelectasis,,,,,, report impression bibasilar infiltrate atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147, the mediastinum and cardiac silhouette are within normal limits,,,, impression postoperative changes with bibasilar atelectasis and small pleural effusions,,,,,, there is infiltrate in the left lower lobe with a small effusion,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148, the cardiomediastinal silhouette is within normal limits,,,, findings pa and lateral views the chest demonstrate slight linear opacity in the left lower lung that suggests atelectasis and or fibrosis,,,,,, left lower lobe infiltrate with small effusion,,,,,,,,,,,,,,,,,,,,,,,,,, technique sitting ap and lateral chest images are compared with supine chest of date findings mild left ventricular pattern and cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149, the cardiomediastinal silhouette is within normal limits,,,, there is a moderate size left pleural effusion with left lower lung field consolidation in keeping with atelectasis and or pneumonic infiltrate in the appropriate clinical setting,,,,,, there is increased density in the visualized left lung base suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150, heart size is within normal limits,,,, moderate size left pleural effusion with left lower lung field consolidation in keeping with atelectasis and or pneumonic infiltrate in the appropriate clinical setting,,,,,, there appears to be increased density in the mid and lower left lung field suggesting infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, report impression mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151, findings the mediastinum and cardiac silhouette are within normal limits,,,, subtle basilar scarring and subsegmental atelectasis suggested,,,,,, lungs there is increased retrocardiac opacity concerning for retrocardiac infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,, report impression mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152, findings the cardiomediastinal silhouette is within normal limits,,,, probably chronic interstitial scarring or subsegmental atelectasis chronic degenerative changes and old healed rib fracture deformity on the left,,,,,, report impression cardiomegaly with findings concerning for left lower lobe infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomediastinal silhouette cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153, pulmonary vasculature within normal limits,,,, findings single view of the chest demonstrates subtle atelectasis versus infiltrate in the inferior left lung base,,,,,, clearing of the right lower lobe infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154, heart and mediastinum are within normal limits,,,, mild atelectasis versus subtle infiltrate in the inferior left lung base with mild peribronchial thickening,,,,,, there is a right lower lobe infiltrate and pleural effusion,,,,,,,,,,,,,,,,,,,,,,,,,, there is cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155, the mediastinum and cardiac silhouette are within normal limits,,,, large right perihilar mass now with right upper lobe volume loss and confluence infiltrate possibly postobstructive atelectasis and or pneumonia,,,,,, report impression right lower lobe infiltrate and pleural effusion,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156, findings heart size is within normal limits,,,, overlapping densities versus subtle inferior right middle lobe parenchymal infiltrate atelectasis and or bronchopneumonia ,,,,,, bilateral pulmonary scar is without evidence of infiltrate or effusion,,,,,,,,,,,,,,,,,,,,,,,,,, there is cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157, pulmonary vessels are is within normal limits,,,, bibasilar stranding densities compatible with atelectasis versus scar,,,,,, there are bilateral lower lobe infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,, moderate cardiomegaly with prominent fat hospital name hospital name phone number this report was electronically signed by doctor name on date time pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158, the cardiomediastinal contours are within normal limits,,,, there is linear subsegmental airspace opacity demonstrated in the lower lung zones likely representing atelectasis or scarring,,,,,, report impression bilateral lower lobe infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,, negative for cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159, findings the mediastinum and cardiac silhouette are within normal limits,,,, impression mildly improved lung inflation with subsegmental airspace opacity in the lower lung zones likely atelectasis or scarring,,,,,, findings there are bilateral lower lung airspace densities compatible with infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160, findings the cardiomediastinal silhouette is within normal limits,,,, there is mild left basilar subsegmental atelectasis,,,,,, report impression bilateral lower lung infiltrates with pleural effusions,,,,,,,,,,,,,,,,,,,,,,,,,, mild cardiomegaly with mild pulmonary edema and small bilateral effusions layering on the right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161, findings the mediastinum and cardiac silhouette are within normal limits,,,, left basilar subsegmental atelectasis,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,,,,,,,,,,,,,,,,,,,,,,,,,, there is cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162, heart and mediastinum the cardiomediastinal silhouette is within normal limits for technique,,,, comparison date indication history picc line placement findings lungs pleura mild atelectasis versus less likely consolidation the lung bases,,,,,, there is a small right base infiltrate study was compared with ,,,,,,,,,,,,,,,,,,,,,,,,,, persistent cardiomegaly and ill defined pulmonary vasculature suggesting mild edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163, heart and mediastinum the cardiomediastinal silhouette is within normal limits for technique,,,, atelectasis versus consolidation in the bases,,,,,, right base infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly and mildly ill defined pulmonary vasculature suggesting congestive heart failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164, findings the mediastinum and cardiac silhouette are within normal limits,,,, minimal perihilar opacity with volume loss consistent with atelectasis,,,,,, mild patchy infiltrate right upper lobe,,,,,,,,,,,,,,,,,,,,,,,,,, history sob pain findings exams report header chest v report body chest v the chest x ray shows cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165, the cardiomediastinal contours and bony structures are within normal limits,,,, slight interval increased atelectasis compared to earlier,,,,,, significant inflammatory infiltrate burden persists bilaterally and suggest follow up,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166, heart size appears within normal limits,,,, abnormal opacity at the left base is likely scarring or atelectasis,,,,,, ill defined left perihilar infiltrates is present extending into the left lung base,,,,,,,,,,,,,,,,,,,,,,,,,, history shortness of breath crackles new onset stat findings exams report header chest views frontal and lateral report body findings the chest x ray shows cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167, cardiac and mediastinum the cardiac silhouette is within normal limits,,,, left lower lobe atelectasis or scarring,,,,,, report impression left basilar and perihilar infiltrates are present,,,,,,,,,,,,,,,,,,,,,,,,,, cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168, the cardiac silhouette and hilar structures are within normal limits,,,, this is consistent with atelectasis or pneumonia,,,,,, ill defined left perihilar infiltrates is present extending into the left lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169, cardiac silhouette is within normal limits in size,,,, findings there are mildly low lung volumes with linear areas of atelectasis or scarring in both lung bases,,,,,, left pulmonary infiltrate is present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170, findings the mediastinum and cardiac silhouette are within normal limits,,,, impression there are low lung volumes with bilateral basilar atelectasis or scarring,,,,,, report impression study is negative for evidence of rib lesion but left pulmonary infiltrate is present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171, history cough chest congestion findings exams report header chest v report body the heart size and pulmonary vascularity are within normal limits,,,, there remains a minimal amount of atelectasis and scar along left hemidiaphragm which is unchanged,,,,,, 	 left basilar and perihilar infiltrates are present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172, pulmonary vasculature within normal limits,,,, bibasilar linear subsegmental atelectasis or scarring,,,,,, examination xr chest view portable date date am comparison xr chest view cvc insrt fup date date pm clinical history stroke respiratory failure tracheostomy lung infiltrate examination single view chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173, findings the heart size and mediastinum are within normal limits,,,, this is consistent with atelectasis or pneumonia,,,,,, perivascular infiltrates are again demonstrated in a manner quite similar to the earlier study allowing for technical variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174, the visualized bony structures are within normal limits,,,, there is atelectasis in both lungs,,,,,, report impression there are persisting perivascular infiltrates which are unchanged from the earlier study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175, the cardiac silhouette and mediastinal contours are within normal limits,,,, atelectasis in both lungs,,,,,, lung fields are clear of acute alveolar infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176, pulmonary vasculature within normal limits,,,, findings there are patchy airspace densities in the right lower lung compatible with pneumonia or atelectasis,,,,,, there is a right lower lobe infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177, heart and vessels are within normal limits,,,, report impression patchy airspace densities in the right lower lung compatible with pneumonia or atelectasis,,,,,, report impression right lower lobe infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,, there is some mild residual left lower lobe atelectasis,,,,,, lungs are well expanded and free of acute infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,, there is mild persistent left lower lobe atelectasis,,,,,, report impression bilateral large effusions with or without underlying infiltrates or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,, findings lungs mild left lower lobe atelectasis or pneumonia with a very small left pleural effusion,,,,,, there is mild bilateral basilar atelectasis or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,, impression mild left lower lobe atelectasis or pneumonia with a very small left pleural effusion,,,,,, report impression mild bilateral basilar atelectasis or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,, minimal left lung base scarring versus atelectasis,,,,,, report impression left lower lobe infiltrate atelectasis superimposed on bibasilar fibrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,, similar suspected bibasilar atelectasis,,,,,, partial clearing has occurred in basilar infiltrates since the study of ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,, there is atelectasis in both lung bases,,,,,, report impression partial clearing of the card in bibasilar infiltrates cptcode lat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,, report impression mild atelectasis in both lung bases,,,,,, report impression left lower lobe infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,, unchanged left basilar consolidation which may represent atelectasis aspiration and or infection,,,,,, the lungs are well expanded and free of acute infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,, mild left basilar atelectasis,,,,,, lungs patchy infiltrates are seen in the right upper lobe and in the left lung base mainly in the medial left lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,, the density may be slightly worse in the right lung base although this may just be atelectasis related to slightly lower lung volumes on this exam,,,,,, persistent right infiltrates in the upper lobe some improved aeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,, new bilateral airway wall thickening and diffusely increased nonvascular pulmonary markings most suggestive of bronchitis with multifocal subsegmental atelectasis secondary to small airways obstructive disease,,,,,, persistent left medial basilar infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
